customer_id,total_orders,lifetime_sales,loyalty_tier,discount
164756,366,11044.60,Premium,"20% Discount"
100111,709,9268.95,Premium,"20% Discount"
129364,407,7110.15,Gold,"15% Discount"
105732,508,8429.50,Gold,"15% Discount"
117457,453,8413.50,Gold,"15% Discount"
106439,455,8274.00,Gold,"15% Discount"
157987,611,7079.05,Gold,"15% Discount"
163790,262,8005.95,Gold,"15% Discount"
115812,359,7057.95,Gold,"15% Discount"
165330,562,7798.80,Gold,"15% Discount"
140949,466,7648.15,Gold,"15% Discount"
145177,462,7566.30,Gold,"15% Discount"
126977,516,7424.70,Gold,"15% Discount"
104346,453,7412.45,Gold,"15% Discount"
108504,559,7401.60,Gold,"15% Discount"
132626,449,7396.25,Gold,"15% Discount"
112347,341,7343.95,Gold,"15% Discount"
103674,352,7291.60,Gold,"15% Discount"
163328,284,7248.85,Gold,"15% Discount"
122336,188,12920.60,Silver,"10% Discount"
124163,184,8207.05,Silver,"10% Discount"
167941,250,4033.00,Silver,"10% Discount"
165344,135,6911.00,Silver,"10% Discount"
151750,360,6869.65,Silver,"10% Discount"
164147,132,6819.70,Silver,"10% Discount"
140326,133,6703.65,Silver,"10% Discount"
139892,360,6687.45,Silver,"10% Discount"
118017,400,6673.95,Silver,"10% Discount"
110156,400,6613.60,Silver,"10% Discount"
158421,458,6608.05,Silver,"10% Discount"
110786,357,6494.30,Silver,"10% Discount"
114013,434,6432.90,Silver,"10% Discount"
160766,358,6408.20,Silver,"10% Discount"
129007,282,6350.50,Silver,"10% Discount"
115441,235,6261.25,Silver,"10% Discount"
131338,511,6231.10,Silver,"10% Discount"
109386,255,4030.95,Silver,"10% Discount"
131807,288,6179.20,Silver,"10% Discount"
135937,283,6158.85,Silver,"10% Discount"
138247,284,6137.85,Silver,"10% Discount"
145583,355,6103.05,Silver,"10% Discount"
161935,304,6036.45,Silver,"10% Discount"
106859,257,5978.70,Silver,"10% Discount"
167010,408,5923.05,Silver,"10% Discount"
109253,362,5903.25,Silver,"10% Discount"
124800,360,5879.80,Silver,"10% Discount"
158694,358,5826.35,Silver,"10% Discount"
152730,402,5808.30,Silver,"10% Discount"
142237,305,5789.65,Silver,"10% Discount"
108189,332,5788.75,Silver,"10% Discount"
169019,311,5770.40,Silver,"10% Discount"
103135,205,5769.40,Silver,"10% Discount"
109365,352,5741.00,Silver,"10% Discount"
155502,355,5725.20,Silver,"10% Discount"
155481,132,5683.50,Silver,"10% Discount"
128818,302,5680.35,Silver,"10% Discount"
158372,305,5678.05,Silver,"10% Discount"
144806,255,5660.60,Silver,"10% Discount"
150714,254,5651.00,Silver,"10% Discount"
126452,350,5633.40,Silver,"10% Discount"
119375,135,4024.35,Silver,"10% Discount"
124541,254,4022.25,Silver,"10% Discount"
131947,304,5574.00,Silver,"10% Discount"
128965,304,5533.25,Silver,"10% Discount"
165624,357,5501.40,Silver,"10% Discount"
106950,304,5480.80,Silver,"10% Discount"
118339,252,5477.85,Silver,"10% Discount"
166093,361,5442.15,Silver,"10% Discount"
120824,358,5416.60,Silver,"10% Discount"
123491,305,5400.55,Silver,"10% Discount"
128608,214,5387.70,Silver,"10% Discount"
166317,182,5376.50,Silver,"10% Discount"
137463,215,5371.60,Silver,"10% Discount"
146563,204,5362.50,Silver,"10% Discount"
119284,331,5326.50,Silver,"10% Discount"
110905,409,5323.90,Silver,"10% Discount"
145261,334,5315.15,Silver,"10% Discount"
119291,361,5314.45,Silver,"10% Discount"
115602,203,5292.75,Silver,"10% Discount"
104731,354,5279.35,Silver,"10% Discount"
102673,202,5271.60,Silver,"10% Discount"
100223,257,5270.85,Silver,"10% Discount"
150630,363,5256.60,Silver,"10% Discount"
124737,305,5243.55,Silver,"10% Discount"
150350,301,5216.80,Silver,"10% Discount"
103730,252,5207.75,Silver,"10% Discount"
126725,352,5142.25,Silver,"10% Discount"
128363,358,5089.20,Silver,"10% Discount"
148901,349,5076.45,Silver,"10% Discount"
144666,312,5029.20,Silver,"10% Discount"
114489,206,4993.20,Silver,"10% Discount"
137113,256,4970.05,Silver,"10% Discount"
125451,304,4018.40,Silver,"10% Discount"
126361,307,4934.40,Silver,"10% Discount"
129021,256,4926.55,Silver,"10% Discount"
162201,335,4926.40,Silver,"10% Discount"
163804,133,4923.25,Silver,"10% Discount"
165309,353,4920.85,Silver,"10% Discount"
102988,252,4017.85,Silver,"10% Discount"
147627,304,4908.90,Silver,"10% Discount"
147886,361,4889.55,Silver,"10% Discount"
154599,206,4887.75,Silver,"10% Discount"
156244,305,4874.90,Silver,"10% Discount"
155425,248,4874.50,Silver,"10% Discount"
126557,354,4870.60,Silver,"10% Discount"
152310,306,4869.75,Silver,"10% Discount"
132486,309,4858.55,Silver,"10% Discount"
169040,354,4857.45,Silver,"10% Discount"
126732,303,4818.95,Silver,"10% Discount"
152975,184,4788.85,Silver,"10% Discount"
141117,202,4774.50,Silver,"10% Discount"
164882,453,4765.05,Silver,"10% Discount"
113908,135,4764.60,Silver,"10% Discount"
131611,253,4743.45,Silver,"10% Discount"
161956,406,4734.60,Silver,"10% Discount"
157966,314,4726.75,Silver,"10% Discount"
142188,256,4726.60,Silver,"10% Discount"
163552,261,4712.40,Silver,"10% Discount"
115259,204,4706.55,Silver,"10% Discount"
108574,153,4700.00,Silver,"10% Discount"
124590,253,4691.70,Silver,"10% Discount"
164448,201,4683.25,Silver,"10% Discount"
121188,300,4676.00,Silver,"10% Discount"
126067,183,4674.00,Silver,"10% Discount"
107104,201,4631.65,Silver,"10% Discount"
167927,405,4622.10,Silver,"10% Discount"
110576,240,4603.65,Silver,"10% Discount"
169824,133,4593.95,Silver,"10% Discount"
110408,133,4591.75,Silver,"10% Discount"
139269,137,4578.80,Silver,"10% Discount"
121720,404,4571.10,Silver,"10% Discount"
139913,184,4568.50,Silver,"10% Discount"
169943,256,4541.15,Silver,"10% Discount"
125997,311,4537.20,Silver,"10% Discount"
157749,353,4500.20,Silver,"10% Discount"
130974,366,4499.60,Silver,"10% Discount"
109470,206,4492.80,Silver,"10% Discount"
139087,353,4479.55,Silver,"10% Discount"
112130,359,4479.45,Silver,"10% Discount"
157161,282,4472.85,Silver,"10% Discount"
141544,249,4465.75,Silver,"10% Discount"
145982,303,4465.70,Silver,"10% Discount"
160472,301,4456.30,Silver,"10% Discount"
140872,401,4448.80,Silver,"10% Discount"
159912,160,4447.70,Silver,"10% Discount"
125402,357,4428.60,Silver,"10% Discount"
119137,207,4423.75,Silver,"10% Discount"
116596,202,4413.60,Silver,"10% Discount"
146591,200,4407.90,Silver,"10% Discount"
125738,202,4407.75,Silver,"10% Discount"
163181,307,4406.40,Silver,"10% Discount"
111332,252,4393.70,Silver,"10% Discount"
111682,358,4393.60,Silver,"10% Discount"
167199,358,4392.85,Silver,"10% Discount"
153969,303,4381.20,Silver,"10% Discount"
134215,151,4372.65,Silver,"10% Discount"
146934,305,4360.55,Silver,"10% Discount"
132010,184,4352.45,Silver,"10% Discount"
137050,310,4349.50,Silver,"10% Discount"
111451,252,4003.30,Silver,"10% Discount"
132577,261,4328.70,Silver,"10% Discount"
134194,254,4327.00,Silver,"10% Discount"
163776,301,4318.75,Silver,"10% Discount"
138093,261,4316.40,Silver,"10% Discount"
141677,252,4294.90,Silver,"10% Discount"
124352,303,4248.30,Silver,"10% Discount"
143567,182,4242.90,Silver,"10% Discount"
